Age,Education,MaritalStatus,Occupation,Income,Hours_spent_daily_online,Follow_favorite_brands_online,Interaction_with_brands_over_internet,ATT_FB_Ads1,ATT_FB_Ads2,Monthly_expenditure,OBB_1
50-60,Post Graduate,Married,@C:J+rkgtljOr86txEKY6y7lEY39C0s9g/HAvBFhtWBFRru8AMbPd8=,More than 15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I ask questions about their products on community pages,Agree,Agree,"Rs. 1,000-3,000",Agree
40-50,Post Graduate,Married,@C:XD6EqS+vCY5oTTx41XGtRFCfYUMpPFgUpf6G2D4Fec9Fq80hgbY=,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Disagree,Strongly Disagree,"Rs 3,000-5,000",Strongly Disagree
40-50,Graduate,Married,@C:YeOgFP6oX0u0MBT9gjgyNupctSTWLeqi9ezDfZM0j6ITkuISVim0Tw==,5-10 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I do not interact at all,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Undecided
40-50,Post Graduate,Married,@C:695RVhFgGx5Ctul5nulwHkyviP1z27w5Bx0IXPidTpjJzGt9f9NW,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
50-60,PhD,Widower,@C:2jjBZac+jwLRCFGgLbtrmzrs1WqwzOnv3C/SPmtJfraJARfa3CzB,10-15 Lakhs,Less than an hour,"Yes, but it does not influence my online buying",I only follow their channel/ feeds,Agree,Agree,"Rs. 1,000-3,000",Disagree
40-50,Graduate,Married,@C:nxU5gUBb+6uvhGa+HjEtwvW5uflTy9bE5OZ+0MeTUV550j6JuiqC,10-15 Lakhs,More than five hours,"Yes, but it does not influence my online buying",I ask questions about their products on community pages,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Disagree
40-50,Post Graduate,Sinlge Partner,@C:lscKGWhx2NOYeVFlbZgItiVAmnUIzaDfA8t937HxYTHN9zEbhfM8,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Strongly Agree,"Rs. 1,000-3,000",Agree
40-50,Graduate,Married,@C:21xfXZ7ut4pzDpmQYpNbrj162SZHis3GDKWeroZvXkGF6iKeBas=,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Strongly Agree
40-50,Post Graduate,Married,@C:u+665PeoAxwOF96yQucW9W6VepTW7iQmsDiXSoPWwQqPEgcunngCfWs=,10-15 Lakhs,Less than an hour,No,I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,Post Graduate,Widower,@C:9o1Hfdp8H12VA9hOzaOT9/7H8BFMFLPUwrxDeUqLo3loUwVQVCxB,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs 3,000-5,000",Agree
50-60,Post Graduate,Married,@C:g6gyUXg8XUwXell4isEfOctxBiYWrNUWGfPRJi3F8oCBLs6w3m45,5-10 Lakhs,One to Two hours,"Yes, but it does not influence my online buying",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Agree,Agree,"Less than Rs. 1,000",Strongly Disagree
50-60,PhD,Married,@C:UUOHsCdOnkJZEPuYQvk4UdhCSS7tjbh8Y0iZxQ9p2FnD+bdU+CHgNg==,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I take part in their contests,Agree,Agree,"Rs. 1,000-3,000",Strongly Agree
50-60,Post Graduate,Married,@C:OVQaLt8zRhid9WzegNM5Fr/hkjnfRBpNow0tohExuKaKx5Mn3MQ=,More than 15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I ask questions about their products on community pages,Agree,Agree,"Rs. 1,000-3,000",Agree
50-60,PhD,Widower,@C:8GCAJHpRnh6yjIvwobdLwzeR4gMdHP0Sow/soFAl4TZJEktneDa4,10-15 Lakhs,Less than an hour,"Yes, but it does not influence my online buying",I only follow their channel/ feeds,Agree,Agree,"Rs. 1,000-3,000",Disagree
50-60,Post Graduate,Widower,@C:pnkyXv/oVIk4F5BmNzu0n/pmYKsri3eZasNN2pp2n3IO2ocNBHUg,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs 3,000-5,000",Agree
40-50,Post Graduate,Married,@C:+l/orzSDZJHMT1IRZWanK8WkTZ87dPEH5MQu0YhQ4LkJrHdXPzg=,10-15 Lakhs,Three to four hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Strongly Disagree,Strongly Disagree,"Rs 3,000-5,000",Strongly Disagree
40-50,Graduate,Married,@C:hkOTudRVs6sNFUtbFIIYn2pLfWrenLMF9yW0qLZz9s31e87bukM=,5-10 Lakhs,One to Two hours,"Yes, and it influences my online buying.",I comment on/ “like”/ share/follow/subscribe/ their pages/channales,Disagree,Strongly Disagree,"Rs. 1,000-3,000",Strongly Agree
